population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,235,95+ years,401,Acute hepatitis A,1,Number,2023,9.80606925438504,22.793208128982968,1.984592946060357
1,All Population,5,Prevalence,1,Global,2,Female,235,95+ years,401,Acute hepatitis A,1,Number,2023,24.4382872713206,56.02628284583404,4.9497669581642825
1,All Population,5,Prevalence,1,Global,1,Male,238,12-23 months,401,Acute hepatitis A,1,Number,2023,683874.9875515245,813780.871654551,565181.9678799041
1,All Population,5,Prevalence,1,Global,2,Female,238,12-23 months,401,Acute hepatitis A,1,Number,2023,659830.7915483046,781210.8319191367,546966.4917641528
1,All Population,5,Prevalence,1,Global,1,Male,388,1-5 months,401,Acute hepatitis A,1,Number,2023,379529.6538359071,496137.5719719898,285544.4692986902
1,All Population,5,Prevalence,1,Global,2,Female,388,1-5 months,401,Acute hepatitis A,1,Number,2023,368777.7367484423,479372.576564667,279720.44029363536
1,All Population,5,Prevalence,1,Global,1,Male,389,6-11 months,401,Acute hepatitis A,1,Number,2023,405025.9608065248,507901.06738952815,315889.6661753777
1,All Population,5,Prevalence,1,Global,2,Female,389,6-11 months,401,Acute hepatitis A,1,Number,2023,392433.60415292834,489419.1425216612,309384.81481163297
1,All Population,5,Prevalence,1,Global,1,Male,2,0-6 days,402,Acute hepatitis B,1,Number,2023,248.4733473894484,366.92913119383337,155.59463230394522
1,All Population,5,Prevalence,1,Global,2,Female,2,0-6 days,402,Acute hepatitis B,1,Number,2023,185.6446975889012,268.9586685427004,122.55212831722724
1,All Population,5,Prevalence,1,Global,1,Male,3,7-27 days,402,Acute hepatitis B,1,Number,2023,713.8389498803236,1079.830442376713,446.211265350952
1,All Population,5,Prevalence,1,Global,2,Female,3,7-27 days,402,Acute hepatitis B,1,Number,2023,535.7945277023985,741.3372460941871,350.6383298358128
1,All Population,5,Prevalence,1,Global,1,Male,6,5-9 years,402,Acute hepatitis B,1,Number,2023,92694.0364572474,129152.80814893892,64050.24848874367
1,All Population,5,Prevalence,1,Global,2,Female,6,5-9 years,402,Acute hepatitis B,1,Number,2023,66492.5608390468,96955.01383916735,46019.44384454397
1,All Population,5,Prevalence,1,Global,1,Male,7,10-14 years,402,Acute hepatitis B,1,Number,2023,137218.29239022033,202625.94886642543,88720.44932873448
1,All Population,5,Prevalence,1,Global,2,Female,7,10-14 years,402,Acute hepatitis B,1,Number,2023,94384.74060820296,140036.89545283848,61069.8908354758
1,All Population,5,Prevalence,1,Global,1,Male,8,15-19 years,402,Acute hepatitis B,1,Number,2023,206417.40203803027,337280.9561981697,130203.81544710518
1,All Population,5,Prevalence,1,Global,2,Female,8,15-19 years,402,Acute hepatitis B,1,Number,2023,138234.2191105703,219467.57468755663,85370.4132213931
1,All Population,5,Prevalence,1,Global,1,Male,9,20-24 years,402,Acute hepatitis B,1,Number,2023,357649.60454957985,598212.8284878369,204769.0735703067
1,All Population,5,Prevalence,1,Global,2,Female,9,20-24 years,402,Acute hepatitis B,1,Number,2023,236669.810435064,398897.2490467577,147674.29880273488
